book_id,chap_id,term_str,n,tf,tfidf,max_pos,anger,anticipation,disgust,fear,joy,sadness,surprise,trust,sentiment
1245,24,withered,1,0.002257336343115124,0.011399206657901943,JJ,0.0,0.0,0.011399206657901943,0.0,0.0,0.0,0.0,0.0,-0.011399206657901943
1245,24,wonderful,1,0.002257336343115124,0.0046784844829585665,JJ,0.0,0.0,0.0,0.0,0.0046784844829585665,0.0,0.0046784844829585665,0.0046784844829585665,0.0046784844829585665
1245,24,wonderfully,1,0.002257336343115124,0.008944437264560321,RB,0.0,0.0,0.0,0.0,0.008944437264560321,0.0,0.008944437264560321,0.0,0.008944437264560321
1245,24,word,6,0.013544018058690745,0.019042785909830745,NN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.019042785909830745,0.019042785909830745
1245,24,words,6,0.013544018058690745,0.014372422519346213,NNS,0.014372422519346213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014372422519346213
1245,24,worship,1,0.002257336343115124,0.008944437264560321,NN,0.0,0.008944437264560321,0.0,0.008944437264560321,0.008944437264560321,0.0,0.0,0.008944437264560321,0.008944437264560321
1245,24,young,4,0.009029345372460496,0.005782912987023564,JJ,0.0,0.005782912987023564,0.0,0.0,0.005782912987023564,0.0,0.005782912987023564,0.0,0.005782912987023564
1245,25,abandonment,1,0.005291005291005291,0.02891474099856828,NN,0.02891474099856828,0.0,0.0,0.02891474099856828,0.0,0.02891474099856828,0.02891474099856828,0.0,-0.02891474099856828
1245,25,absent,2,0.010582010582010581,0.036042247192336896,JJ,0.0,0.0,0.0,0.0,0.0,0.036042247192336896,0.0,0.0,-0.036042247192336896
1245,25,accident,1,0.005291005291005291,0.019724446849540736,NN,0.0,0.0,0.0,0.019724446849540736,0.0,0.019724446849540736,0.019724446849540736,0.0,-0.019724446849540736
1245,25,advance,1,0.005291005291005291,0.020115984317497226,NN,0.0,0.020115984317497226,0.0,0.020115984317497226,0.020115984317497226,0.0,0.020115984317497226,0.0,0.020115984317497226
